epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,251.022,0.87962,0.78432,0.90426,0.62711,0.53427,0.61114,0.3342,1.64178,1.79769,1.25566,0.000742625,0.000742625,0.000742625
125,253.043,0.87823,0.80323,0.89742,0.62711,0.53427,0.61114,0.3342,1.64178,1.79769,1.25566,0.0007385,0.0007385,0.0007385
126,255.054,0.86012,0.82684,0.91842,0.62711,0.53427,0.61114,0.3342,1.64178,1.79769,1.25566,0.000734375,0.000734375,0.000734375
127,257.094,0.99846,0.87787,0.94695,0.62711,0.53427,0.61114,0.3342,1.64178,1.79769,1.25566,0.00073025,0.00073025,0.00073025
128,259.11,0.99411,0.83737,0.94984,0.64919,0.52912,0.61447,0.34168,1.69001,1.82641,1.30359,0.000726125,0.000726125,0.000726125
129,261.108,0.97003,0.86191,0.91663,0.64919,0.52912,0.61447,0.34168,1.69001,1.82641,1.30359,0.000722,0.000722,0.000722
130,263.121,0.89469,0.85362,0.91186,0.64919,0.52912,0.61447,0.34168,1.69001,1.82641,1.30359,0.000717875,0.000717875,0.000717875
131,265.141,1.07912,1.01541,0.96858,0.64919,0.52912,0.61447,0.34168,1.69001,1.82641,1.30359,0.00071375,0.00071375,0.00071375
132,267.242,1.06083,0.87979,0.93735,0.65342,0.5153,0.60706,0.34917,1.71855,1.85187,1.33861,0.000709625,0.000709625,0.000709625
133,269.259,1.05252,0.90551,0.91666,0.65342,0.5153,0.60706,0.34917,1.71855,1.85187,1.33861,0.0007055,0.0007055,0.0007055
134,271.194,0.89514,0.85648,0.92165,0.65342,0.5153,0.60706,0.34917,1.71855,1.85187,1.33861,0.000701375,0.000701375,0.000701375
135,273.195,0.97171,0.85667,0.94184,0.65342,0.5153,0.60706,0.34917,1.71855,1.85187,1.33861,0.00069725,0.00069725,0.00069725
136,275.31,0.97287,0.95554,0.92828,0.62928,0.50615,0.61444,0.35568,1.70791,1.8328,1.33995,0.000693125,0.000693125,0.000693125
137,277.342,0.89469,0.7902,0.91383,0.62928,0.50615,0.61444,0.35568,1.70791,1.8328,1.33995,0.000689,0.000689,0.000689
138,279.31,0.85614,0.81366,0.92009,0.62928,0.50615,0.61444,0.35568,1.70791,1.8328,1.33995,0.000684875,0.000684875,0.000684875
139,281.326,0.896,0.80426,0.92043,0.62928,0.50615,0.61444,0.35568,1.70791,1.8328,1.33995,0.00068075,0.00068075,0.00068075
140,283.428,0.91974,0.798,0.89696,0.61713,0.51485,0.62476,0.33828,1.7512,1.71528,1.37033,0.000676625,0.000676625,0.000676625
141,285.543,0.93685,0.82339,0.91156,0.61713,0.51485,0.62476,0.33828,1.7512,1.71528,1.37033,0.0006725,0.0006725,0.0006725
